_ingestion_id,collection,load_type,watermark_inicial,watermark_final,qtd_lida_origem,qtd_gravada_destino,start_time,end_time,duracao_seg,status,mensagem_erro
db1eb0a9-16d3-4770-9a92-73e8218e8660,movies,incremental,2015-09-17 17:31:50.663000000,2015-09-17 17:31:50.663000000,0,0,2026-08-30T23:13:43.292Z,2026-08-30T23:16:36.054Z,10.488861,SUCCESS,null
c766e930-2c8d-4758-acba-a7160c4e363f,movies,incremental,2015-09-17 17:31:50.663000000,2015-09-17 17:31:50.663000000,0,3,2026-08-30T23:34:17.554Z,2026-08-30T23:51:28.779Z,29.846134,SUCCESS,null
5cd0d531-56ce-489c-95f6-df9a8508e3d9,comments,incremental,2026-08-29T23:30:31.181000,2026-08-29T23:30:31.181000,0,0,2026-08-30T23:13:46.124Z,2026-08-30T23:16:51.028Z,9.539702,SUCCESS,null
d144f676-ea54-4029-b345-d69593d95939,comments,incremental,2026-08-29T23:30:31.181000,2026-08-29T23:30:31.181000,0,2,2026-08-30T23:34:20.862Z,2026-08-30T23:51:53.733Z,17.810012,SUCCESS,null
afa96cd9-c8d6-4bc7-9f4a-ac5c30787363,movies,incremental,null,2015-09-17 17:31:50.663000000,23539,23539,2026-08-30T23:08:53.292Z,2026-08-30T23:10:45.288Z,18.542703,SUCCESS,null
37462ec2-a9aa-465c-be26-15ac9ce18632,comments,incremental,null,2026-08-29T23:30:31.181000,50318,50318,2026-08-30T23:09:01.615Z,2026-08-30T23:11:12.734Z,22.063516,SUCCESS,null
e4c8c6fd-29f3-486a-825a-93d54fdb5869,embedded_movies,full,null,null,1500,1500,2026-08-30T23:08:49.857Z,2026-08-30T23:10:22.024Z,4.917998,SUCCESS,null
219639e2-7216-44ac-aeec-adacb04b41ca,embedded_movies,full,null,null,1500,1500,2026-08-30T23:13:39.655Z,2026-08-30T23:16:21.107Z,3.107064,SUCCESS,null
ead04b21-9f5c-4d7e-82fc-7bbabf723762,embedded_movies,full,null,null,1500,1500,2026-08-30T23:34:14.244Z,2026-08-30T23:50:51.825Z,4.876046,SUCCESS,null
2f6f383e-daea-4d0f-9fab-16e58b505c65,theaters,full,null,null,1564,1564,2026-08-30T23:08:43.740Z,2026-08-30T23:10:01.953Z,4.31834,SUCCESS,null
41169429-b03f-41f2-8239-e3dac57a2df8,theaters,full,null,null,1564,1564,2026-08-30T23:13:32.840Z,2026-08-30T23:16:06.287Z,2.815028,SUCCESS,null
46274d7e-761c-40d8-a9bd-b0634d8f19c8,sessions,full,null,null,1,1,2026-08-30T23:13:36.455Z,2026-08-30T23:16:13.562Z,2.722176,SUCCESS,null
f47f85e9-4c19-476c-909e-0b83dd579ed1,sessions,full,null,null,1,1,2026-08-30T23:08:46.972Z,2026-08-30T23:10:11.739Z,4.29049,SUCCESS,null
c12d630c-a860-4019-b0f2-70c98747fd5a,theaters,full,null,null,1564,1564,2026-08-30T23:34:08.024Z,2026-08-30T23:50:28.756Z,5.18807,SUCCESS,null
61586aed-22ab-48a7-b3a6-06ed01df78c9,sessions,full,null,null,1,1,2026-08-30T23:34:11.409Z,2026-08-30T23:50:40.858Z,4.688131,SUCCESS,null
79a655fb-1325-4b4d-b027-43ace35778e2,users,full,null,null,185,185,2026-08-30T23:13:29.257Z,2026-08-30T23:15:58.646Z,2.832803,SUCCESS,null
b7478e17-1a46-4d42-80a0-4dd4a4a94a4c,users,full,null,null,185,185,2026-08-30T23:08:39.566Z,2026-08-30T23:09:52.692Z,4.797504,SUCCESS,null
251e1eea-187f-4841-bfe0-b5a71f0a8eb1,users,full,null,null,185,185,2026-08-30T23:34:04.025Z,2026-08-30T23:50:12.149Z,11.126999,SUCCESS,null
